C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg,
,01-03-2022 17:37:18,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:37:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:38:22,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:38:31,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:40:29,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:45:23,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:45:27,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:47:40,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:47:43,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:51:33,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:51:35,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:52:53,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:52:57,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:54:11,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:54:15,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:56:24,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:56:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:57:32,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,01-03-2022 17:57:36,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:57:38,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,01-03-2022 17:57:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 17:57:50,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:08:30,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:08:37,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:12:00,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:12:15,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:12:35,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:12:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:13:08,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:14:48,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:17:51,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:17:54,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:18:10,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:18:32,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.20,7.81,,
**,01-03-2022 18:18:40,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,4.11,3.71,0.58,1.13,1.20,0.00,125.00,
**,01-03-2022 18:18:47,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,12.50,,3.71,0.58,1.13,1.20,9.72,125.00,
**,01-03-2022 18:19:04,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,20,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,12.50,14.30,3.71,0.58,1.13,1.20,0.00,406.25,
,01-03-2022 18:20:01,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,01-03-2022 18:20:10,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,20,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,01-03-2022 18:20:16,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,30,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,01-03-2022 18:20:50,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,1,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:20:55,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:21:03,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:25:49,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,01-03-2022 18:27:34,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:14:51,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:19:03,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:26:39,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:31:05,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:36:05,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:42:11,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:45:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:46:32,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,03-03-2022 15:46:52,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,6565,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:47:52,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,03-03-2022 15:47:56,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,03-03-2022 15:48:00,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,10,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:49:43,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:50:19,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:52:41,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 15:53:34,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:25:04,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:25:39,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:26:19,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:26:33,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:27:09,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,03-03-2022 16:50:17,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 16:39:42,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 16:42:56,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 16:53:51,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 16:59:05,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 17:00:15,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,04-03-2022 17:03:48,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,08-03-2022 15:41:07,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,08-03-2022 15:47:59,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,08-03-2022 15:53:03,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,08-03-2022 15:56:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,08-03-2022 15:58:01,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.3,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,08-03-2022 15:58:05,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,08-03-2022 15:58:19,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,9,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
**,08-03-2022 15:58:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:10:25,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:10:45,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:21:53,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:22:44,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.20,7.81,,
,10-03-2022 15:23:50,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:43:43,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 15:43:54,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.20,7.81,,
**,10-03-2022 15:45:10,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,4,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,0.72,3.71,0.58,1.13,1.20,0.00,31.25,
**,10-03-2022 15:45:22,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,3.75,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,3.71,0.58,1.13,1.20,0.00,,
,10-03-2022 15:48:23,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,1.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,7.28,3.71,0.58,1.13,1.20,7.81,,
,10-03-2022 15:49:08,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,4.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,5.51,,3.71,0.58,1.13,1.20,0.00,157.13,
,10-03-2022 15:49:28,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.10,3.71,0.58,1.13,1.20,0.00,275.29,
,10-03-2022 15:58:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 16:07:49,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 16:09:30,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 17:17:17,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 17:17:27,16(31A22),ID343795-B,CI-CPC,Bath,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,1.02,,1.83,0.00,0.00,0.00,0.00,283.84,
,10-03-2022 17:18:27,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.10,3.71,0.58,1.13,1.20,0.00,275.29,
,10-03-2022 17:18:52,16(31A22),ID343795-B,CI-CPC,Bath,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,1.02,,1.83,0.00,0.00,0.00,0.00,283.84,
,10-03-2022 17:19:12,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.10,3.71,0.58,1.13,1.20,0.00,275.29,
,10-03-2022 17:21:32,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 17:21:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,10-03-2022 17:22:12,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 14:42:28,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 16:36:42,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 16:45:16,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:06:34,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:08:30,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:09:22,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:10:45,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:14:19,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:15:23,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:16:16,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:17:02,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
,15-03-2022 17:18:25,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,,
