C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,01-03-2022 17:57,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,01-03-2022 17:57,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 17:57,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:08,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:08,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:12,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:12,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:12,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:12,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:13,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:14,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,4.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:17,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:17,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,3.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:18,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:18,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:18,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.2,7.81,
**,01-03-2022 18:18,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,4.11,3.71,0.58,1.13,1.2,0,125
**,01-03-2022 18:18,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,12.5,,3.71,0.58,1.13,1.2,9.72,125
**,01-03-2022 18:19,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,20,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,12.5,14.3,3.71,0.58,1.13,1.2,0,406.25
,01-03-2022 18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,01-03-2022 18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,20,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,01-03-2022 18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,30,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,01-03-2022 18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,1,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:20,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:25,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,01-03-2022 18:27,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,03-03-2022 15:14,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
