C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg,
,08-04-2022 11:13:18,16(31A22),ID343795,CI-CPC,Bath,500,,3TB110,SG400/15 ,3.750,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,1.83,0.00,0.00,0.00,1.55,,
,08-04-2022 11:14:17,16(31A22),ID343795,CI-CPC,Bath,500,F1,3TB110,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,0.71,,1.83,0.00,0.00,0.00,1.55,,
,08-04-2022 11:14:39,16(31A22),ID343795,CI-CPC,Bath,500,F1,3TB110,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,0.71,,1.83,0.00,0.00,0.00,1.55,,
,15-04-2022 17:09:26,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:11:24,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:12:12,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:17:11,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:17:51,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:19:08,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:20:29,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:21:33,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:23:22,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:25:38,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:28:37,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,15-04-2022 17:29:15,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,25-04-2022 15:22:21,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
