C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,S,P,Cr,Cu,Ni,Sn,Mg,,,,,,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.S in Kg,Sug.P in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Mg in Kg,Sug. in Kg,
,08-12-2022 10:54:31,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 10:56:00,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 10:57:45,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 11:00:35,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 11:05:10,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 11:05:42,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,08-12-2022 11:06:59,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,09-12-2022 11:24:41,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,27-12-2022 11:35:12,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,27-12-2022 11:37:03,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,27-12-2022 11:39:18,194,Item Not Found,Select Batch,Final,500,A,Select Steel Values,   cast iron -  F     ,3.210,1.910,0.898,0.080,0.113,0.231,0.291,0.027,0.025,0.003,,,,,,3.927,,,,,,,,,,,,
,27-12-2022 11:44:00,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.490,1.680,0.602,0.083,0.101,0.255,0.104,0.051,0.023,0.002,,,,,,4.133,,,,,,,,,,,,
,27-12-2022 11:46:40,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.540,1.670,0.602,0.073,0.096,0.256,0.104,0.050,0.023,0.002,,,,,,4.170,,,,,,,,,,,,
,27-12-2022 11:47:07,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.540,1.670,0.602,0.073,0.096,0.256,0.104,0.050,0.023,0.002,,,,,,4.170,,,,,,,,,,,,
,27-12-2022 11:47:29,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.550,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.184,,,,,,,,,,,,
,28-12-2022 14:05:45,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.550,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.184,,,,,,,,,,,,
,28-12-2022 14:06:10,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
**,28-12-2022 14:06:17,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,4,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.634,,,,,,,,,,,,
,28-12-2022 14:06:25,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,3.760,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.394,,,,,,,,,,,,
**,28-12-2022 14:06:33,324,Item Not Found,Select Batch,Bath,500,B,Select Steel Values,   cast iron -  F     ,4,1.670,0.604,0.077,0.099,0.256,0.105,0.050,0.023,0.002,,,,,,4.634,,,,,,,,,,,,
