Sr No,Batch Name,C,Si,Mn,P,Co,S,Cr,Mo,Ni,Nb,Cu,Al,B,Ca,Zr,Mg,Pb,Sn,Ti,Zn,V,N,Ce,Fe,Bi,As,Se,Sb,La,-,
1,CI-CPC,70,65,60,60,,60,60,,,,90,,,,,,,,,,,,,,,,,,,
2,CI-GPC,90,65,60,60,,60,60,,,,90,,,,,,,,,,,,,,,,,,,
3,SG,90,65,60,,,,,,,,90,,,,,,,,,,,,,,,,,,,
