C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Cu,Mg,Sn,Al,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Scr. in Kg,
,02-09-2022 17:45:20,CI-260,CI-260-B,Select Batch,Final,500,,Select Steel Values,06 14 H 22,3.250,>2.120,0.652,0.055,0.081,0.081,<0.026,0.087,>0.001,0.010,>0.002,4.012,,,,,,,,,
,02-09-2022 17:46:41,CI-260,CI-260-B,CI-CPC,Final,500,,3TB110,06 14 H 22,<3.250,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.012,10.71,1.38,0.82,0.00,0.00,0.58,0.00,0,
**,02-09-2022 17:47:17,CI-260,CI-260-B,CI-CPC,Final,500,,3TB110,06 14 H 22,4.75,<2.120,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,5.512,0,1.38,0.82,0.00,0.00,0.58,0.00,0,
,02-09-2022 17:48:13,CI-260,CI-260-B,CI-CPC,Final,500,,3TB110,06 14 H 22,<3.250,2.300,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.072,10.71,0,0.82,0.00,0.00,0.58,0.00,0,
,02-09-2022 17:50:05,CI-260,CI-260-B,Select Batch,Final,500,,Select Steel Values,06 14 H 22,<3.250,2.300,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.072,,,,,,,,,
,02-09-2022 17:50:09,CI-260,CI-260-B,CI-CPC,Final,500,,3TB110,06 14 H 22,<3.250,2.300,<0.652,<0.055,<0.081,<0.081,>0.026,0.087,<0.001,>0.010,>0.002,4.072,10.71,0.00,0.82,0.00,0.00,0.58,0.00,0.00,
