C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Cu,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg,
,02-06-2022 15:01:38,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 15:10:40,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 15:10:51,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 15:12:34,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 15:14:57,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 15:23:00,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
**,02-06-2022 15:23:09,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,52,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 17:24:36,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 17:25:15,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 17:27:52,16(31A22),ID343795,CI-CPC,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,0.71,,1.83,0.00,0.00,0.00,1.55,,
,02-06-2022 17:48:10,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 17:50:50,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,02-06-2022 17:54:34,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,18-06-2022 11:39:58,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,18-06-2022 11:43:28,16(31A22),ID343795,CI-CPC,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,0.71,,1.83,0.00,0.00,0.00,1.55,,
,23-06-2022 17:38:08,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
,23-06-2022 17:41:11,16(31A22),ID343795,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,3.650,1.452,0.305,0.021,0.005,0.006,0.017,0.012,0.021,0.054,4.036,,,,,,,,,
